序号,编号,状态,标题,副标题,作者,语言,出版日期,类型,出版社,开本,页数,印字,ISBN/ASIN,价格,购买地,购买日期,阅读日期,阅读日期2,评分,简评,
61,2015-061,未读,代议制政府,,约翰·穆勒,中英,2007年8月,政治,中国社会科学出版社,16开,529,,9787500462927,¥25.00,京东,2015年9月,,,,,
62,2015-062,1遍,幸福的方法,,Tal Ben-Shahar,中文,2013年1月,心理学,中信出版社,16开,200,290,9787508637426,¥20.50,京东,2015年9月,2015年10月,,★★☆☆☆,,
63,2015-063,1遍,看不见的城市,,Italo Calvino,中文,2012年4月,散文,译林出版社,32开,182,,9787544722278,¥18.30,京东,2015年9月,2015年10月,,★★☆☆☆,,
64,2015-064,未读,解码黑社会,,狄亚哥·甘贝塔,中文,2011年4月,社会学,华夏出版社,16开,280,,9787508063089,¥27.90,京东,2015年9月,,,,,
65,2015-065,1遍,制度是如何形成的,,苏力,中文,2007年9月,法律,北京大学出版社,16开,265,234,9787301126820,¥27.10,京东,2015年9月,2015年12月,,★★★★☆,,
66,2015-066,未读,毛姆传,毛姆的秘密生活,赛琳娜·黑斯廷斯,中文,2015年1月,传记,安徽文艺出版社,32开,472,375,9787539651859,¥28.80,京东,2015年9月,,,,,
67,2015-067,未读,刀锋,,毛姆,中文,2014年7月,小说,译文出版社,32开,348,,9787532756995,¥23.50,京东,2015年9月,,,,,
68,2015-068,未读,歌德谈话录,,爱克曼/朱光潜,中文,2013年4月,哲学,中华书局,32开,308,,9787101091830,¥20.80,京东,2015年9月,,,,,
69,2015-069,未读,非暴力沟通,,卢森堡,中文,2012年11月,心理学,华夏出版社,16开,190,150,9787508051000,¥22.50,京东,2015年9月,,,,,
70,2015-070,未读,新月集·飞鸟集,,泰戈尔,中文,2012年5月,诗歌,中华书局,32开,193,,9787101085600,¥14.30,京东,2015年9月,,,,,
71,2015-071,1遍,可操作的民主,罗伯特议事规则下乡全记录,寇延丁,中文,2012年4月,管理,浙江大学出版社,16开,232,,9787308097871,¥18.10,京东,2015年9月,2015年10月,,★★★★☆,,
72,2015-072,未读,瓦尔登湖,,亨利·戴维·梭罗,中英,2008年1月,小说,上海三联书店,16开,258,,9787542627117,¥15.50,京东,2015年9月,,,,,
73,2015-073,1遍,第三次工业革命,新经济模式如何改变世界,杰里米·里夫金,中文,2012年6月,经济,中信出版社,16开,312,200,9787508633121,¥33.00,京东,2015年9月,2015年11月,,★★★☆☆,,
74,2015-074,未读,论语译注,,杨伯峻,中文,2012年5月,国学,中华书局,32开,294,,9787101085594,¥23.50,京东,2015年9月,,,,,
75,2015-075,未读,蒙田随笔全集,,米歇尔·德·蒙田,中文,2009年3月,哲学,上海书店出版社,大32开,,,9787806789971,¥46.10,京东,2015年10月,,,,,
76,2015-076,1遍,杨氏太极拳经典85式,,黎慧琳,中文,2013年11月,武术,成都时代出版社,16开,153,,9787546407722,¥24.20,京东,2015年10月,2015年10月,,★★☆☆☆,,
77,2015-077,1遍,雨天的书,,周作人,中文,2011年1月,散文,北京十月文艺出版社,32开,210,,9787530210628,¥14.10,京东,2015年10月,2015年10月,,★★☆☆☆,,
78,2015-078,2遍,人生五大问题,,莫罗阿/傅雷,中文,2014年6月,哲学,三联书店,32开,162,81,9787108050205,¥23.00,万圣书园,2015年10月,2015年10月,2016年4月,★★★★☆,,
79,2015-079,1遍,异乡人,,加缪,中文,2015年1月,小说,北京大学出版社,16开,144,78,9787301251782,¥28.00,万圣书园,2015年10月,2015年10月,,★★★☆☆,,
80,2015-080,未读,曾国藩治学方法,,胡哲敷,中文,2015年9月,历史,当代中国出版社,32开,186,106,9787515404905,¥28.00,万圣书园,2015年10月,,,,,
81,2015-081,1遍,电影是一场华丽的诱拐,,路鹃,中文,2014年11月,散文,清华大学出版社,32开,376,252,9787302376378,¥28.90,万圣书园,2015年10月,2015年11月,,★★★☆☆,,
82,2015-082,1遍,中层领导力,西点军校和哈佛大学共同讲授的领导力教程,John C.Maxwell,中文,2015年5月,管理,江苏凤凰文艺出版社,Kindle,305,,B0123MCPGE,¥2.99,亚马逊,2015年10月,2015年11月,,★★★★☆,,
83,2015-083,1遍,做饭,,汪曾祺,中文,2013年8月,散文,江苏文艺出版社,32开,248,150,9787539963761,¥25.60,京东,2015年10月,2015年11月,,★★★★★,,
84,2015-084,阅读中,九型人格,,海伦·帕尔默,中文,2006年10月,心理学,华夏出版社,16开,346,338,9787508040738,¥28.50,京东,2015年10月,,,★☆☆☆☆,,
85,2015-085,1遍,蒋公的面子,,温方伊,中文,2013年8月,话剧,南京大学出版社,32开,233,173,9787305119729,¥25.30,京东,2015年10月,2015年11月,,★★★★☆,,
86,2015-086,未读,伟大的博弈,,约翰·S·戈登,中文,2011年1月,金融,中信出版社,16开,400,365,9787508616773,¥43.50,京东,2015年10月,,,,,
87,2015-087,1遍,了不起的盖茨比,,司各特·菲茨杰拉德,中文,2006年12月,小说,上海译文出版社,Kindle,351,,,¥0.00,亚马逊,2015年11月,2015年11月,,★★☆☆☆,,
88,2015-088,1遍,人生的智慧,,叔本华,中文,2011年8月,哲学,中央编译出版社,Kindle,334,,B005I1V83Y,¥0.99,亚马逊,2015年11月,2016年5月,,★★★★★,干了这碗毒鸡汤,
89,2015-089,未读,刘秀传,,黄留珠,中文,2014年10月,传记,人民出版社,32开,402,308,9787010137377,¥28.10,京东,2015年12月,,,,,
90,2015-090,未读,国家的常识,政权·地理·文化,迈克尔·罗斯金,中文,2013年4月,政治,世界图书出版公司,16开,544,,9787510057779,¥49.40,京东,2015年12月,,,,,
91,2015-091,未读,电影镜头设计,从构思到银幕,Steven D.Katz,中文,2015年10月,电影,北京联合出版公司,16开,392,480,9787550251458,¥41.30,京东,2015年12月,,,,,
92,2015-092,未读,世界电影史,,Bordwell D.,中文,2014年2月,电影,北京大学出版社,16开,974,1500,9787301231838,¥153.50,京东,2015年12月,,,,,
93,2016-001,未读,蚕丝：钱学森传,,张纯如,中文,2011年4月,传记,中信出版社,16开,308,208,9787508626277,¥31.50,京东,2016年1月,,,,,
94,2016-002,未读,公司治理、管理层权利与公司价值研究,,汤洪波,中文,2011年5月,管理,经济科学出版社,16开,146,,9787514106725,¥22.10,京东,2016年1月,,,,,
95,2016-003,1遍,电影化叙事,,Jennifer van Sijll,中文,2009年5月,电影,广西师范大学出版社,16开,503,,9787563382613,¥35.00,单向空间,2016年1月,2016年2月,,★★★★☆,,
96,2016-004,未读,理解公司,产权、激励与治理,张维迎,中文,2014年6月,管理,上海人民出版社,32开,592,320,9787208119239,¥46.50,京东,2016年1月,,,,,
97,2016-005,未读,数据挖掘,概念与技术,Jiawei Han,中文,2012年8月,计算机,机械工业出版社,16开 ,496,,9787111391401,¥54.90,京东,2016年1月,,,,,
98,2016-006,未读,源氏物语,,紫式部,中文,2011年6月,小说,译林出版社,32开,1312,,9787544717274,¥71.10,京东,2016年1月,,,,,
99,2016-007,1遍,剧本结构设计,后浪电影学院069,丹·奥班农,中文,2015年3月,电影,北京联合出版公司,16开,232,195,9787550238855,¥24.00,京东,2016年1月,2016年4月,,★★★☆☆,,
100,2016-008,未读,隐形的权利线,企业与组织的系统排列,Klaus P.Horn,中文,2013年1月,管理,世界图书出版公司北京公司,16开,244,,9787510050756,¥28.70,亚马逊,2016年1月,,,,,
